Subject,Course,Year,Quarter,Title,Instructor,GPA,A,B,C,D,F,W,P,NP
ECON,173B,20,WI,Corporate Finance,"Ramey, Garey",3.281,46.4%,26.7%,21.4%,0%,0%,1.78%,3.57%,0%
ECON,176,20,WI,Marketing,"Sinitsyn, Maxim",3.064,39.1%,39.1%,17.3%,0%,0%,4.34%,0%,0%
ECON,178,20,WI,Economic&amp;Business Forecasting,"Zhu, Ying",3.495,45.2%,27.0%,2.91%,0%,1.45%,1.45%,4.37%,0%
ECON,191B,20,WI,Senior Essay Seminar B,"Cullen, Julie",3.95,100%,0%,0%,0%,0%,0%,0%,0%
EDS,23,20,WI,Higher Education Second Year,"Dean, Dallawrence Edward",3.921,92.2%,0%,0%,0%,1.72%,0%,6.03%,0%
EDS,25,20,WI,Am Higher Edu&amp;Collegiate Exper,"Dean, Dallawrence Edward",3.894,75%,6.66%,0%,0%,0%,3.33%,13.3%,1.66%
EDS,39,20,WI,Explore Secondary STEM Ed,"Heinzman, Erica M.",3.947,90%,5%,0%,0%,0%,0%,0%,0%
EDS,111,20,WI,Child Family Community,"Cohen, Shana R",3.942,97.3%,2.63%,0%,0%,0%,0%,0%,0%
EDS,112,20,WI,U.S. Urban Education,"Chapman, Thandeka K",3.842,88.2%,7.84%,0%,1.96%,0%,0%,0%,1.96%
EDS,114,20,WI,Cogn Develp&amp;Intractv Compt Env,"Eguchi, Emi",3.825,85.9%,10.5%,1.75%,0%,0%,0%,1.75%,0%
EDS,115,20,WI,Cog Development &amp; Education,"Lockton, Marie",3.585,77.3%,15.0%,0%,3.77%,1.88%,0%,0%,0%
EDS,116,20,WI,Equity Minded Education,"Dean, Dallawrence Edward",3.946,89.7%,5.12%,0%,0%,0%,0%,5.12%,0%
EDS,117,20,WI,"Language, Culture &amp; Education","Jones, Makeba",3.952,67.0%,3.79%,0%,0%,0%,0%,5.06%,0%
EDS,119,20,WI,1st&amp;2nd Lang Lrn:Child to Adol,"Munoz Sanchez, Alicia",3.084,42.8%,23.8%,23.8%,0%,0%,4.76%,4.76%,0%
EDS,125,20,WI,"Hist,Polic&amp;Theory/Bilingual Ed","Gallagher-Geurtsen, Tricia Meghan",3.693,74.1%,22.4%,0%,0%,0%,3.44%,0%,0%
EDS,126,20,WI,Social Organization/Education,"Jones, Makeba",3.723,56.0%,12.1%,1.51%,1.51%,0%,1.51%,25.7%,1.51%
EDS,128A,20,WI,Intro/Teaching&amp;Learning (Elem),"Pappas, Elizabeth",3.654,77.1%,17.1%,5.71%,0%,0%,0%,0%,0%
EDS,129B,20,WI,Intro/Teach&amp;Learn (Secondary),"Black, Alison Michelle",3.927,93.3%,6.66%,0%,0%,0%,0%,0%,0%
EDS,130,20,WI,Intro/Acad Ment/Elem Schl Stdn,"Bintliff, Amy S.V.",3.908,92.3%,7.69%,0%,0%,0%,0%,0%,0%
EDS,135,20,WI,Newcomer Communities in SD,"Drake, Kristy Nicole",3.9,83.3%,5.55%,0%,0%,0%,0%,11.1%,0%
EDS,136,20,WI,Intro/Acad Tut/Second Schl Std,"Chung, Luz Marina",3.671,77.4%,6.45%,3.22%,0%,3.22%,0%,9.67%,0%
EDS,137,20,WI,Intro/Discipl/Specific Teachng,"Holtzman, Caren Lynn",3.909,90.9%,9.09%,0%,0%,0%,0%,0%,0%
EDS,139,20,WI,Practicum in Teaching/Learning,"Bintliff, Amy S.V.",0,0%,0%,0%,0%,0%,0%,97.5%,0%
EDS,139,20,WI,Practicum in Teaching/Learning,"Chung, Luz Marina",0,0%,0%,0%,0%,0%,0%,93.7%,2.08%
EDS,139,20,WI,Practicum in Teaching/Learning,"Black, Alison Michelle",0,0%,0%,0%,0%,0%,0%,81.8%,0%
EDS,140,20,WI,Intro Action Rsrch P-12 Edu,"Chung, Luz Marina",3.847,88.2%,11.7%,0%,0%,0%,0%,0%,0%
ENVR,120,20,WI,Coastal Ecology,"Uyeda, Kellie Ann",3.857,70.5%,11.7%,0%,0%,0%,0%,17.6%,0%
ERC,192A,20,WI,Global Service Prep Seminar,"Evans, Ivan T",0,0%,0%,0%,0%,0%,0%,0%,0%
ESYS,102,20,WI,The Solid and Fluid Earth,"Rodriguez, Angelica Rita",3.08,33.9%,41.5%,19.8%,0.94%,0.94%,0.94%,1.88%,0%
ETHN,2,20,WI,Intro:CirculationsofDifference,"Taylor-Garcia, Daphne",3.766,47.6%,7.43%,1.01%,0%,0.67%,0.33%,33.7%,0.33%
ETHN,100B,20,WI,InterdisciplinaryMethodologies,"Patel, Shaista",3.132,33.3%,51.5%,3.03%,3.03%,3.03%,0%,3.03%,0%
ETHN,101,20,WI,Ethnic Images in Film,"Marez, Curtis F.",3.728,63.6%,20%,0%,0%,0%,0%,10.9%,0%
ETHN,113,20,WI,Decolonizing Education,"Boston, Martin Luther",3.605,54.1%,29.1%,0%,0%,0%,0%,8.33%,0%
ETHN,118,20,WI,Contemprary Immigration Issues,"Espiritu, Yen",3.71,16.6%,4.16%,0%,0%,0%,2.08%,0%,0%
ETHN,121,20,WI,Contemp Asian American History,"Sasaki, Christen T",3.864,91.3%,0%,0%,0%,0%,0%,8.69%,0%
ETHN,163F,20,WI,Playing Indian:Native Am Cinem,"Burelle, Julie Sara Veronique",3.632,68%,16%,4%,0%,0%,0%,12%,0%
ETHN,177,20,WI,"Race, Sound and Music","Kheshti, Roshanak",4,19.0%,0%,0%,0%,0%,0%,4.76%,0%
ETHN,179,20,WI,Discover Jazz,"Dresser, Mark Stuart",3.333,40.7%,14.8%,7.40%,0%,3.70%,0%,33.3%,0%
ETHN,182,20,WI,"Race, Gender, Sexuality Sci Fi","Streeby, Shelley",3.696,64.2%,19.6%,0%,0%,0%,0%,7.14%,0%
ETHN,184,20,WI,Black Intellectuals in 20th C,"Boston, Martin Luther",3.522,38.4%,30.7%,0%,0%,0%,0%,0%,0%
ETHN,185,20,WI,"Discourse, Power &amp; Inequality","Huezo, Alexander D",3.569,57.8%,21.0%,5.26%,0%,0%,0%,15.7%,0%
FILM,87,20,WI,Film Studies Freshman Seminar,"Rahimi, Babak",0,0%,0%,0%,0%,0%,2.94%,97.0%,0%
FMPH,40,20,WI,Introduction to Public Health,"Trinidad, Dennis Ryan",3.242,44.5%,41.3%,10.8%,0%,2.17%,0%,0%,0%
FMPH,50,20,WI,Primary Care and Public Health,"Reddy, Divya Kotha",3.408,55.2%,31.7%,10%,1.76%,0%,0%,0.58%,0%
FMPH,101,20,WI,Epidemiology,"Bristow, Claire Catherine",3.217,41.5%,40%,18.4%,0%,0%,0%,0%,0%
FMPH,102,20,WI,Biostatistics in Public Health,"Vaida, Florin",3.272,35.2%,29.4%,7.84%,3.92%,0%,5.88%,1.96%,0%
FMPH,110,20,WI,Health Behavior &amp; Chronic Dis,"Hartman, Sheri R",3.473,50.6%,46.7%,2.59%,0%,0%,0%,0%,0%
FMPH,120,20,WI,Health Policies/Healthy Lfesty,"Navarro, Ana",3.66,57.7%,15.5%,4.44%,0%,0%,2.22%,0%,0%
FMPH,130,20,WI,Environment &amp; Occuption Health,"Kayser, Georgia Lyn",3.622,73.9%,23.9%,0%,0%,2.17%,0%,0%,0%
FMPH,191,20,WI,Topics in Public Health,"Mills, Paul J",3.864,96%,4%,0%,0%,0%,0%,0%,0%
FMPH,193,20,WI,Public Health Capstone I,"Servin, Argentina Elisa No",3.861,89.2%,10.7%,0%,0%,0%,0%,0%,0%
FMPH,193,20,WI,Public Health Capstone I,"Romero, Sally Ann Dominick",3.94,93.8%,4.08%,0%,0%,0%,0%,0%,0%
FMPH,193,20,WI,Public Health Capstone I,"Leas, Eric Craig",3.973,96.1%,3.84%,0%,0%,0%,0%,0%,0%
GLBH,20,20,WI,Introduction to Global Health,"Hannah, Seth Donal",3.615,71.0%,22.3%,1.31%,0%,0%,0%,2.63%,0%
GLBH,101,20,WI,Aging: Culture&amp;Health/Hum Dev,"Williams Green, Leanne Judith",3.55,50%,40.9%,0%,0%,0%,9.09%,0%,0%
GLBH,111,20,WI,Health Frontiers in Tijuana,"Ojeda, Victoria D.",3.811,82.1%,17.8%,0%,0%,0%,0%,0%,0%
GLBH,142,20,WI,Ethnographies of the Clinic,"Saravia, Paula F",3.907,86.6%,13.3%,0%,0%,0%,0%,0%,0%
GLBH,148,20,WI,Global Health&amp;Cultrl Diversity,"Denham, Aaron Renfrew",2.995,26.8%,48.5%,13.4%,4.47%,0.74%,1.49%,4.47%,0%
GLBH,150A,20,WI,GLBH Capstone Seminar I,"Denham, Aaron Renfrew",3.253,64.7%,11.7%,0%,0%,11.7%,0%,0%,0%
GLBH,150,20,WI,Culture and Mental Health,"Olivas Hernandez, Olga Lid",3.896,88.4%,7.69%,0%,0%,0%,0%,3.84%,0%
GLBH,150A,20,WI,GLBH Capstone Seminar I,"Kaiser, Bronwyn Nicole",3.913,93.3%,6.66%,0%,0%,0%,0%,0%,0%
GLBH,150A,20,WI,GLBH Capstone Seminar I,"Saravia, Paula F",3.7,78.5%,21.4%,0%,0%,0%,0%,0%,0%
GLBH,160,20,WI,Global Health Policy,"Mackey, Timothy Ken",3.234,28.3%,60%,5%,0%,0%,0%,1.66%,0%
GLBH,171R,20,WI,Global Mental Health,"Jenkins, Janis A.",3.867,75.8%,6.89%,0%,0%,0%,0%,13.7%,0%
HDS,60,20,WI,Intro to Statistical Analysis,"Warstadt, Melissa Fawn",3.415,46.6%,33.3%,6.66%,0%,0%,0%,6.66%,0%
HDS,110,20,WI,Brain &amp; Behavioral Development,"Ark, Wendy S",3.574,74.5%,16.9%,5.08%,1.69%,0%,1.69%,0%,0%
HDS,133,20,WI,Cross-Cultural Perspectives,"Stewart, Alexander B",3.73,44.0%,10.7%,2.15%,0%,0%,1.07%,2.15%,0%
HDS,150,20,WI,Senior Seminar,"Ishizuka, Katie E",3.9,94.7%,5.26%,0%,0%,0%,0%,0%,0%
HDS,171,20,WI,Diversity in Human Development,"Blaise, Jean G",3.668,61.7%,29.4%,0%,0%,0%,0%,8.82%,0%
HDS,175,20,WI,PowerWealth&amp;Inequality/HumDev,"Blaise, Jean G",3.814,76.9%,7.69%,0%,0%,0%,0%,3.84%,3.84%
HDS,181,20,WI,Exper Proj/Human Dev. Resear,"Ark, Wendy S",2.478,9.52%,42.8%,28.5%,0%,4.76%,9.52%,0%,0%
HDS,191,20,WI,Field Resrch/Human Development,"Reese, Clarissa Jane",2.81,28.5%,34.2%,17.1%,0%,8.57%,5.71%,0%,0%
HIAF,111,20,WI,Modern Africa Since 1880,"Prestholdt, Jeremy",3.52,16.2%,6.25%,2.5%,0%,0%,1.25%,2.5%,0%
HIEA,115,20,WI,Social&amp;Cultural/20th C Japan,"Matsumura, Wendy Y",3.933,21.5%,1.53%,0%,0%,0%,4.61%,6.15%,0%
HIEA,132,20,WI,Hist/People&#39;s Republic/China,"Gerth, Karl G.",3.697,63.8%,13.8%,2.77%,0%,0%,0%,16.6%,2.77%
HIEA,137,20,WI,Women &amp; Family/Chinese History,"Lu, Weijing",2.927,27.1%,33.8%,13.5%,3.38%,3.38%,1.69%,11.8%,3.38%
HIEA,155,20,WI,China and the Environment,"Muscolino, Micah S",3.95,11.3%,0%,0%,0%,0%,1.88%,1.88%,0%
HIEU,128,20,WI,Europe since 1945,"Neuheiser, Joerg",3.059,18.1%,36.3%,7.79%,0%,1.29%,1.29%,27.2%,1.29%
HIEU,139,20,WI,Sex and Gender 1500-1800,"Hertz, Deborah",3.216,22.7%,45.4%,0%,0%,2.27%,4.54%,11.3%,0%
HIEU,151,20,WI,Spain Since 1808,"Radcliff, Pamela B.",3.26,40%,27.2%,10.9%,0%,0%,5.45%,12.7%,1.81%
HIEU,183,20,WI,Social Hist/Mediterranean,"Gallant, Thomas W.",3.84,86.6%,6.66%,6.66%,0%,0%,0%,0%,0%
HILA,100,20,WI,Conquest/Empire: The Americas,"Murillo, Dana V.",2.968,23.8%,40.4%,9.52%,2.38%,4.76%,0%,16.6%,2.38%
HILA,102,20,WI,Latin America/Twentieth Centry,"Cowan, Benjamin A",3.62,65%,20%,3.33%,1.66%,0%,0%,8.33%,0%
HILA,103,20,WI,Revolution/Modern Latin Americ,"Deavenport, James Cary",3.913,79.5%,6.81%,0%,0%,0%,0%,13.6%,0%
HILA,121B,20,WI,History of Brazil 1889-Present,"Graham, Jessica Lynn",3.556,9.25%,7.40%,0%,0%,0%,1.85%,1.85%,0%
HILA,144,20,WI,Topics/Latin American History,"Cowan, Benjamin A",3.365,47.5%,25%,10%,2.5%,0%,2.5%,5%,0%
HILD,2B,20,WI,United States History,"Klein, Rachel",3.817,8.15%,1.63%,0%,0%,0%,0%,1.63%,0%
HILD,7B,20,WI,Race &amp; Ethnicity/United States,"Man, Simeon S",3.751,13.1%,2.09%,0%,0%,0.26%,1.31%,8.92%,0%
HILD,11,20,WI,"East Asia &amp; the West,1279-1911","Gerth, Karl G.",3.295,27.3%,12.0%,2.73%,1.09%,2.18%,4.37%,40.9%,7.65%
HILD,20R,20,WI,Wrld History I:Ancient-Medievl,"Herbst, Matthew",3.073,46.6%,6.66%,13.3%,0%,6.66%,0%,20%,6.66%
HILD,30,20,WI,History of Public Health,"Edington, Claire Ellen",3.376,39.5%,39.5%,6.25%,0%,0%,0%,12.5%,0%
HINE,109,20,WI,History of the Ottoman Empire,"Shafir, Nir",3.5,51.2%,29.2%,4.87%,0%,0%,2.43%,4.87%,2.43%
HINE,120,20,WI,Middle East in the New Century,"Provence, Michael",3.674,59.5%,21.2%,0%,0%,0%,2.12%,17.0%,0%
HINE,171,20,WI,Early Judaism and Christianity,"Balberg, Mira",3.638,61.5%,38.4%,0%,0%,0%,0%,0%,0%
HISC,106,20,WI,The Scientific Revolution,"Westman, Robert S",3.624,43.4%,30.4%,0%,0%,0%,4.34%,17.3%,0%
HISC,117,20,WI,History of the Neurosciences,"Gere, Catherina M.",3.435,40.5%,30.4%,1.44%,0%,1.44%,1.44%,23.1%,0%
HITO,119,20,WI,Human Rights I: Introduction,"Patterson, Patrick H.",3.957,100%,0%,0%,0%,0%,0%,0%,0%
HITO,133,20,WI,War &amp; Society/Second World War,"Neuheiser, Joerg",3.309,38.0%,40.4%,2.38%,0%,2.38%,2.38%,11.9%,0%
HIUS,104,20,WI,The Revolutionary Atlantic,"Hanna, Mark G.",3.471,44.5%,28.2%,1.08%,0%,1.08%,3.26%,21.7%,0%
HIUS,144,20,WI,Topics in U.S. History,"Odom, Mychal Matsemelaali",3.633,48.2%,10.3%,0%,3.44%,0%,3.44%,34.4%,0%
HIUS,152A,20,WI,Constitutional Hist/US to 1865,"Vandevelde, Kenneth Joseph",3.603,55.5%,33.3%,0%,0%,0%,0%,11.1%,0%
HUM,1,20,WI,Foundatns/West Civ:Israel&amp;Grce,"Markman, Kristina",3.329,44.6%,48.8%,3.69%,0%,1.42%,1.13%,0%,0%
HUM,1,20,WI,Foundatns/West Civ:Israel&amp;Grce,"Greene, Blythe Anastasia",2.962,25.5%,55.2%,11.4%,3.12%,3.12%,0.52%,0%,0%
HUM,1,20,WI,Foundatns/West Civ:Israel&amp;Grce,"Demetriou, Denise",3.002,20.6%,61.9%,12.1%,1.05%,1.58%,0.52%,0%,0%
HUM,1,20,WI,Foundatns/West Civ:Israel&amp;Grce,"Cox, Stephen D.",3.146,28.7%,59.8%,9.01%,0.29%,1.74%,0%,0%,0%
HUM,4,20,WI,"Enlightmnt,Romnt,Rev/1660-1848","Watkins, Eric",3.046,23.6%,63.0%,7.66%,0.34%,3.13%,2.09%,0%,0%
HUM,4,20,WI,"Enlightmnt,Romnt,Rev/1660-1848","Lyon, Antony J.",2.88,23.4%,48.1%,20.5%,2.89%,2.60%,1.44%,0%,0%
INTL,101,20,WI,Cult &amp; Society/Intrn&#39;l Perspec,"Vitz, Matthew",3.667,62.1%,10.5%,3.51%,0%,1.17%,2.34%,0%,0%
INTL,102,20,WI,"Econ, Politics &amp; Intn&#39;l Change","Broz, James Lawrence",3.043,36.2%,40.9%,12.5%,1.72%,4.74%,1.72%,0.43%,0%
INTL,190,20,WI,Seminar/International Studies,"Day, Joel Keith",3.667,80.9%,19.0%,0%,0%,0%,0%,0%,0%
INTL,190,20,WI,Seminar/International Studies,"Herberg, Mikkal E.",3.286,28.5%,71.4%,0%,0%,0%,0%,0%,0%
INTL,190,20,WI,Seminar/International Studies,"Lettieri, Michael Joseph",3.035,31.8%,40.9%,13.6%,0%,4.54%,0%,0%,0%
INTL,190,20,WI,Seminar/International Studies,"Feeley, Maureen Catherine",3.65,70%,25%,5%,0%,0%,0%,0%,0%
INTL,190,20,WI,Seminar/International Studies,"Nadkarni, Vidya",3.343,45.4%,45.4%,4.54%,0%,0%,0%,0%,0%
INTL,190,20,WI,Seminar/International Studies,"Rothman, Jay Manuel",3.405,50%,35%,10%,0%,0%,0%,0%,0%
INTL,190,20,WI,Seminar/International Studies,"Khanna, Gaurav",3.345,45%,55%,0%,0%,0%,0%,0%,0%
INTL,190,20,WI,Seminar/International Studies,"Walter, Barbara Florence",3.211,21.0%,78.9%,0%,0%,0%,0%,0%,0%
JAPN,10B,20,WI,First Year Japanese II,"Kamioka, Sachiko",3.495,59.2%,9.87%,6.17%,3.70%,1.23%,2.46%,16.0%,0%
JAPN,10B,20,WI,First Year Japanese II,"Tipton, Yuko",3.706,60.6%,16.6%,3.03%,0%,0%,0%,19.6%,0%
JAPN,10B,20,WI,First Year Japanese II,"Simpson, Junko Tokuda",3.609,54.5%,15.9%,6.81%,0%,0%,0%,20.4%,0%
JAPN,10B,20,WI,First Year Japanese II,"Ross, Kayoko F",3.445,53.8%,23.0%,3.84%,3.84%,0%,0%,7.69%,7.69%
JAPN,10B,20,WI,First Year Japanese II,"Maruyama, Rie",3.628,64.2%,10%,5.71%,2.85%,0%,0%,14.2%,1.42%
JAPN,10B,20,WI,First Year Japanese II,"Iwamoto, Naoki",3.596,63.1%,19.2%,8.77%,0%,0%,0%,5.26%,3.50%
JAPN,20B,20,WI,Second Year Japanese II,"Sato, Kyoko",3.624,63.4%,24.3%,4.87%,0%,0%,0%,7.31%,0%
JAPN,20B,20,WI,Second Year Japanese II,"McKee, Mayumi Mochizuki",3.67,68.0%,23.4%,2.12%,0%,0%,0%,6.38%,0%
JAPN,20B,20,WI,Second Year Japanese II,"Inada, Minori",3.768,70.8%,16.6%,4.16%,0%,0%,0%,8.33%,0%
JAPN,130B,20,WI,Third Year Japanese II,"Simpson, Junko Tokuda",3.275,35.2%,23.5%,5.88%,5.88%,0%,0%,23.5%,5.88%
JAPN,130B,20,WI,Third Year Japanese II,"Inada, Minori",3.678,61.9%,14.2%,9.52%,0%,0%,0%,9.52%,0%
JAPN,135B,20,WI,Japanese/Prof Purposes II,"Ross, Kayoko F",3.833,76.9%,15.3%,0%,0%,0%,0%,0%,0%
JAPN,140B,20,WI,Fourth Year Japanese II,"Sato, Kyoko",3.647,72.2%,16.6%,0%,5.55%,0%,0%,5.55%,0%
JAPN,190,20,WI,Sel Topcs/Contmp Japn Studies,"Turner, Christena L.",3.827,58.8%,5.88%,0%,0%,0%,0%,0%,0%
JWSP,2,20,WI,Intermediate Hebrew,"Shuster, Alana",3.855,83.3%,8.33%,0%,0%,0%,0%,0%,0%
LATI,50,20,WI,Introduction to Latin America,"Kokinis, Troy Andreas",3.51,10.3%,6.89%,0%,0%,0%,0%,1.72%,0%
LIAB,1B,20,WI,Arabic Conversation,"Saab, Dima",3.836,85.1%,7.40%,0%,0%,0%,0%,7.40%,0%
LIAB,1B,20,WI,Arabic Conversation,"El Cheddadi, Youniss",3.892,78.5%,14.2%,0%,0%,0%,0%,7.14%,0%
LIAB,1BX,20,WI,Analysis of Arabic,"Akjeje, Abdelhak",3.672,70.4%,18.1%,0%,0%,0%,2.27%,9.09%,0%
LIDS,19,20,WI,Directed Study-Language,"Goodall, Grant Todd",3.455,40%,10%,0%,0%,5%,15%,20%,0%
LIFR,1B,20,WI,French Conversation,"Gaillard, Stephanie R",3.41,27.2%,21.8%,5.45%,0%,0%,0%,41.8%,1.81%
LIFR,1BX,20,WI,Analysis of French,"Gaillard, Stephanie R",3.044,25%,23.2%,3.57%,3.57%,1.78%,0%,35.7%,5.35%
LIFR,1C,20,WI,French Conversation,"Gaillard, Stephanie R",3.082,18.3%,18.3%,4.08%,4.08%,0%,0%,48.9%,6.12%
LIFR,1CX,20,WI,Analysis of French,"Gaillard, Stephanie R",3.178,24%,18%,2%,0%,2%,0%,50%,4%
LIGM,1B,20,WI,German Conversation,"Riebeling, Elke",3.463,42.5%,18.5%,3.70%,0%,0%,0%,35.1%,0%
LIGM,1BX,20,WI,Analysis of German,"Riebeling, Elke",2.976,27.7%,14.8%,12.9%,3.70%,1.85%,0%,37.0%,1.85%
LIGN,6,20,WI,Computers and Language,"Styler, William Francis",3.585,54.5%,21.2%,3.03%,0%,0%,0%,18.1%,3.03%
LIGN,8,20,WI,Languages &amp; Cultures/America,"McIntosh, Justin Daniel",3.709,65.7%,13.5%,2.17%,0%,0.54%,1.63%,15.7%,0.54%
LIGN,17,20,WI,Making and Breaking Codes,"Kehler, Andrew Scott",3.228,44.4%,20.4%,14.6%,1.75%,1.75%,1.16%,15.2%,0.58%
LIGN,101,20,WI,Introduction/Study of Language,"Styler, William Francis",3.334,63.4%,17.4%,3.17%,4.76%,4.76%,1.58%,4.76%,0%
LIGN,111,20,WI,Phonology I,"Rose, Sharon",3.053,43.5%,29.4%,11.5%,7.69%,5.12%,0%,1.28%,1.28%
LIGN,112,20,WI,Speech Sounds&amp;Speech Disorders,"Garellek, Marc",2.935,32.3%,39.7%,20.5%,7.35%,0%,0%,0%,0%
LIGN,119,20,WI,1st&amp;2nd Lang Lrn:Child to Adol,"Munoz Sanchez, Alicia",3.276,53.3%,28.8%,17.7%,0%,0%,0%,0%,0%
LIGN,121,20,WI,Syntax I,"Drake, Emily C",3.043,37.9%,36.1%,13.8%,5.55%,1.85%,0.92%,1.85%,0.92%
LIGN,154,20,WI,Language and Consciousness,"Kluender, Robert",3.038,43.7%,28.1%,12.5%,3.12%,3.12%,3.12%,0%,3.12%
LIGN,171,20,WI,Child Language Acquisition,"Mayberry, Rachel",3.192,42%,40%,10%,6%,0%,2%,0%,0%
LIGN,175,20,WI,Sociolinguistics,"Garellek, Marc",3.16,41.3%,39.1%,13.0%,4.34%,0%,0%,2.17%,0%
LIGN,176,20,WI,Language/Politics&amp;Advertising,"Ackerman, Farrell",3.474,56.7%,29.7%,2.70%,0%,2.70%,2.70%,5.40%,0%
LIHL,112W,20,WI,Filipino for Filipino Speakers,"Alicio, Atilio",3.444,50%,22.7%,0%,0%,0%,4.54%,22.7%,0%
LIHL,114W,20,WI,Beginning Vietnamese for Vietn,"Hill, Kimloan T.V.",3.064,26.6%,40%,0%,0%,6.66%,0%,26.6%,0%
LIHL,115W,20,WI,Korean for Korean Speakers,"Sadegholvad, Elham",4,93.7%,0%,0%,0%,0%,0%,6.25%,0%
LIHL,117W,20,WI,Persian for Persian Speakers,"Sadegholvad, Elham",3.617,84.6%,0%,0%,0%,7.69%,0%,7.69%,0%
LIHL,119W,20,WI,Hindi for Hindi Speakers,"Sadegholvad, Elham",3.67,50%,21.4%,0%,0%,0%,0%,28.5%,0%
LIHL,124W,20,WI,Int Vietnamese/Vietnamese Spkr,"Hill, Kimloan T.V.",3.129,6.25%,31.2%,6.25%,0%,0%,0%,56.2%,0%
LIHL,132W,20,WI,Adv Filipino/Filipino Spkrs,"Alicio, Atilio",3.415,35.2%,41.1%,0%,0%,0%,0%,23.5%,0%
LIHL,134W,20,WI,Adv Vietnamese/Vietnamese Spkr,"Hill, Kimloan T.V.",3.52,56.2%,37.5%,0%,0%,0%,0%,6.25%,0%
LIHL,137W,20,WI,Adv  Persian/Persian Speakers,"Sadegholvad, Elham",3.945,100%,0%,0%,0%,0%,0%,0%,0%
LIIT,1B,20,WI,Italian Conversation,"Riebeling, Elke",3.393,57.8%,10.5%,5.26%,5.26%,0%,0%,21.0%,0%
LIIT,1BX,20,WI,Analysis of Italian,"Riebeling, Elke",3.2,26.3%,42.1%,10.5%,0%,0%,0%,21.0%,0%
LIPO,1B,20,WI,Portuguese Conversation,"Paladini, Denise",3.3,27.2%,45.4%,0%,0%,0%,0%,27.2%,0%
LIPO,1BX,20,WI,Analysis of Portuguese,"De Abreu, Cassia",2.964,18.1%,31.8%,13.6%,0%,0%,0%,36.3%,0%
LISL,1B,20,WI,American Sign Lang Conversatn,"Lott, Margaret S.",3.121,25.2%,32.9%,10.9%,0%,0%,0%,30.7%,0%
LISL,1C,20,WI,American Sign Lang Conversatn,"Lott, Margaret S.",3.465,26.3%,18.4%,0%,0%,0%,0%,55.2%,0%
LISL,1E,20,WI,Intrm/Amer Sign Lang Converstn,"Lott, Margaret S.",3.933,70%,5%,0%,0%,0%,0%,25%,0%
LISL,1CX,20,WI,Analysis of American Sign Lang,"Lott, Margaret S.",3.472,25.6%,20.5%,0%,0%,0%,0%,53.8%,0%
LISL,1BX,20,WI,Analysis of American Sign Lang,"Lott, Margaret S.",3.481,41.7%,21.9%,4.39%,0%,0%,0%,31.8%,0%
LISP,1BX,20,WI,Analysis of Spanish,"Munoz Sanchez, Alicia",3.219,25.3%,14.2%,7.93%,0%,1.58%,3.96%,40.4%,1.58%
LISP,1CX,20,WI,Analysis of Spanish,"Munoz Sanchez, Alicia",3.206,20.3%,13.6%,7.03%,1.17%,0%,1.17%,54.6%,0.39%
LISP,1B,20,WI,Spanish Conversation,"Munoz Sanchez, Alicia",3.398,24.4%,22.0%,2.36%,0%,0%,3.93%,40.9%,1.57%
LISP,1C,20,WI,Spanish Conversation,"Munoz Sanchez, Alicia",3.514,25.8%,15.1%,1.59%,0%,0%,1.19%,54.9%,0.39%
LISP,16,20,WI,Intermediate Spanish/Soc Sci,"Munoz Sanchez, Alicia",3.93,56.2%,6.25%,0%,0%,0%,12.5%,25%,0%
LISP,18,20,WI,Intermed Spanish/Health Sci,"Munoz Sanchez, Alicia",3.767,36.3%,18.1%,0%,0%,0%,0%,36.3%,9.09%
LTAM,110,20,WI,Latin American Lit/Translation,"Chacon, Gloria Elizabeth",3.506,60.5%,26.3%,2.63%,0%,0%,5.26%,5.26%,0%
LTCS,52,20,WI,Topics in Cultural Studies,"Liao, Ping H",3.345,32.5%,15.1%,6.97%,0%,2.32%,1.16%,40.6%,1.16%
LTEA,120B,20,WI,Taiwan Films,"Liao, Ping H",3.126,16.7%,39.0%,6.51%,0%,0.93%,2.79%,31.1%,2.32%
LTEA,138,20,WI,Japanese Films,"Mendoza, Andrea",3.828,67.5%,5.40%,2.70%,0%,0%,0.67%,22.9%,0%
LTEA,141,20,WI,Mod Kor Lit 1945 to Present,"Lee, Jin-Kyung",3.524,62.1%,24.3%,2.70%,0%,2.70%,0%,8.10%,0%
LTEN,22,20,WI,Intro/Lit/Brtish Is:1660-1832,"Nicolazzo, Sarah E.",3.421,45.1%,38.7%,3.22%,0%,3.22%,0%,6.45%,0%
LTEN,25,20,WI,Intro/Lit/US: Beginning - 1865,"Walkiewicz, Kathryn A",3.8,78.0%,12.1%,0%,0%,0%,0%,4.87%,0%
LTEN,27,20,WI,Intro/Afro-American Literature,"Childs, Dennis R.",3.096,32.5%,25.3%,2.40%,2.40%,4.81%,3.61%,25.3%,3.61%
LTEN,112,20,WI,Shakespeare I: Elizabethan Prd,"Lerer, Seth",3.767,76.9%,17.3%,0%,0%,0%,0%,3.84%,0%
LTEN,148,20,WI,Genres/English&amp;American Lit,"Loose, Margaret",3.2,33.3%,58.3%,8.33%,0%,0%,0%,0%,0%
LTEN,155,20,WI,Interaction/Amer Lit&amp;Vis Arts,"el Tayeb, Fatima",3.77,72.7%,18.1%,0%,0%,0%,9.09%,0%,0%
